"","Group.1","rice.x_piece","barley.x_piece","bean.x_piece","potato.x_piece","vegi.x_piece","fruit.x_piece","flower.x_piece","misscrop.x_piece"
"1","Air-c",547.822362793773,14.1776362790347,0,59.000008083,64.9999683964499,49.9999252095,2479.0000784138,277.999955962041
"2","Auto-c",397.145652312805,4.85429914811263,568.000001458,0,1997.9998422468,5243.00004613669,165.000002218,562.9999630205
"3","Barley-c",49218.5395968707,6527.45912244342,0,0,0,0,0,0
"4","Bean-c",0,0,450.000000539,0,20019.000025091,0,0,0
"5","Capital",4938301.4964324,132024.50228243,469114,358778,5672932,2250830,696339,1683165
"6","Cement-c",77.9999875200002,69.9999978959999,0,0,368.0001209888,654.000004542598,0,341.0000348135
"7","Chemistry-c",632757.343188175,16639.6567580763,20338.000004833,33103.000015521,1398465.00089332,507677.000101515,175202.999950662,134885.999966753
"8","Coal-c",0,0,0,0,0,0,0,0
"9","CoalPro-c",0,0,0,0,44569.9998948359,1617.9999780932,37686.9998101799,0
"10","Commercial-c",927466.531084155,20685.4680590754,21492.000061722,32318.000228355,709761.002256794,247010.000055956,137193.000201692,139091.999971132
"11","Const-c",15414.7803411829,684.219656313903,402.99999993,800.999999554,20269.99999152,8831.000002026,5845.000002664,4323.999995166
"12","Dairy-c",2339.999959752,195.000002064,0,0,3529.0001673964,722.999931153698,0,14.9999769285
"13","Diesel-c",76226.3007834732,3707.69924859944,5910.000005374,5749.999997178,60104.0000102883,50616.0000218574,226687.999518614,11846.999982903
"14","ELEC-c",30533.6847329625,827.315155322585,1147.000003867,1092.000002915,8572.99985087529,17033.0000404087,15546.9999720098,1507.999998892
"15","Electronics-c",123.046345036459,2.95367454155938,0,0,634.0001473444,854.000078633598,7440.999915502,884.000053565
"16","FF-c",4387.99996908001,268.000002144,394.000000396,355.0000067,18205.9999522046,9359.99997559398,642.999958938,3965.999952381
"17","FiberLeather-c",33416.0958813027,1236.90425190467,955.000001917,15.000004614,86341.0002050956,5138.00022230219,1054.000062512,17985.999911497
"18","Flower-c",23.3835546991257,0.616418255852435,0,0,0,0,84471.00001018,0
"19","Food-c",733.787759284881,25.2121970015986,54.000000171,21.000009255,756.0000194346,1011.9998417978,425.99990972,5933.0000181005
"20","Fruit-c",0,0,0,0,0,0,0,0
"21","Fueloil-c",3088.37749708645,80.6224620106437,0,0,1409.0000652129,10345.9999585864,24406.9999850858,35.999991864
"22","GAS-c",1806.9997465934,46.0002642084037,0,0,125.9999527846,33.9999947786,2850.9998528014,341.999993808
"23","Gasoline-c",10062.4995387012,274.500500732822,690.999997147,663.999997546,6046.00002310359,1842.9999724637,466.999847603801,1744.000006781
"24","HEAT-c",0,0,0,0,0,0,0,0
"25","Housing-c",0,0,0,0,0,0,0,0
"26","IS-c",0,0,0,0,2128.9999362314,787.000007410298,13583.999910924,0
"27","Jetoil-c",0,0,0,0,0,0,0,0
"28","Kerosene-c",1500.37733682442,38.6226690103567,57.000003777,57.999999557,157377.999757791,33.9999947786,1725.9999756804,2111.999990763
"29","Labor",255831.758134548,10676.2415663704,13953,35963,498058,216959,55854,182279
"30","LNG-c",0,0,0,0,0,0,0,0
"31","LPG-c",1249.2114373015,119.788541896594,18.000003666,17.999999339,671.999934113199,258.9999891491,557.000048538801,175.999997749
"32","Machine-c",35691.2203605946,874.779664565956,1903.000000867,2718.999999081,19211.0001728682,9772.000005632,5622.000042319,10595.999994552
"33","Marine-c",2431.47757108887,83.5223524456349,57.999999692,84.000011508,467.00020428447,105.00009300765,119.999946165,148.99994091582
"34","Meat-c",10190.99999736,507.999998375999,0,0,37360.000012426,5969.99994232799,0,6284.9999960445
"35","Mineral-c",0,0,0,0,0,0,43.9999706320001,0
"36","Mining-c",0,0,0,0,0,0,88.9999508100001,261.0000330165
"37","MissCrop-c",0,0,0,0,109722.000169642,0,1948.99997886,116330.999681374
"38","MissLstock-c",3222.99996127201,479.000001384,0,0,6883.9998702644,1093.0000872917,0,10724.9999834175
"39","MissManu-c",202279.546372874,5328.45388152138,0,0,152.0001823532,57.9999803806998,49.000018362,3.9999963445
"40","MissTrans-c",47709.1550413476,1637.84475739681,956.00002558,1429.000021478,14621.0001359156,28686.9999513023,9036.00007976921,3991.99998529857
"41","nonISmetal-c",0,0,0,0,0,0,306.000000028,175.999988972
"42","Nres",-9.74317726740778,-0.256841717941254,0,0,-87.9999354619999,0,0,0
"43","Oil-c",0,0,0,0,0,0,0,0
"44","Oilpro-c",491.829085708302,10.1709128484968,9.000001833,9.000003465,15.0000089878,168.0000334941,18.9999976492,10.00000169
"45","Pork-c",4176.00001728002,906.999999407998,0,0,5889.0002559474,4630.00000105699,0,7547.0000225195
"46","Potato-c",0,0,0,27671.99999978,0,0,0,0
"47","Poultry-c",1643.999994,372.000000672,0,0,54540.9998058406,9614.00008621658,0,2752.9999653965
"48","Ptaxetc",242634.88311199,6708.11703630802,18818.000007505,17874.000004821,49383.00008743,29232.999989949,7849.000007266,50503.000016228
"49","Ptaxin",76576.5472382543,2185.45273774807,1270.999992495,2382.999995179,85086.000116794,40704.000010051,7176.999992734,14318.999983772
"50","Public-c",220.174840928586,2.82525607029918,0,0,191.00000362265,255.00000128272,597.9999728174,1367.00003190366
"51","Rail-c",52.7671653641503,1.23283799395035,0,0,13.00000835853,3.99999957382,2.00000696120001,12.99999766082
"52","Rice-c",6175328.88478968,159521.213929006,3408.999999461,6864.000004551,48961.0003835662,4029.0000758209,1742.00001096,71760.9999539165
"53","Road-c",88173.2360940147,2440.76426737014,382.00000426,1090.000009894,9758.99950529618,2437.00003904181,5620.00007201601,3162.99992522235
"54","Semidis-c",670.5789940437,6.42103064068975,0,0,645.9997796086,0,0,613.0000109605
"55","Ship-c",7667.999989776,160.000000342,469.999999133,320.000000919,6472.000000188,3005.99999921,653.999998116,483.99999921
"56","Vegi-c",0,0,0,0,1543.000061175,0,0,0
"57","Waste-c",685.918456258146,18.0816247797976,0,0,0,0,2587.0000142454,28.9999689202201
"58","WoodPaper-c",15045.7087653646,387.291368705889,26.000000423,5191.000015487,134042.000213525,103996.000422982,1615.999851241,16402.0000475805
