tc,rice,barley,bean,potato,vegi,fruit,flower,misscrop,dairy,meat,pork,poultry,misslstock
cub,0,0,0,0,0,0,0,0,16147,24782,10558,363660,16933
energy,124959.2802,5104.719755,7832.000008,7591,278892.9997,81950.99999,309948.9995,17774.99998,12357.00001,26766.99997,35003.99998,45842,5034.999995
facil,18505.78391,812.2160867,495,922,20640,9069,5903,11666,6923,7165,6571,10432,2439
feed,0,0,0,0,0,0,0,0,706355,2465788.002,2908535.997,2610989.001,145142.0001
fert,432322,12805,16077,23577,901036,302044,73647,76663,0,0,0,0,0
kcost,891342.0505,27000.94961,22842,45353,1249833,497120,228075,247490,167675,449191,331149,451320,61057
lcost,255831.7581,10676.24157,13953,35963,498058,216959,55854,182279,16075,21880,102256,95992,76367
lmach,43452,749,2009,2571,22052,11926,5834.999994,8190,8778,16556,25276,5555,2812
med,0,0,0,0,0,0,0,0,12460.99999,19339,21404,13123,2046
oinput,130646.2248,5331.775122,4599.000005,13977.00003,585525.0009,211885.0004,112347.9998,74906.99996,56721.99994,175149.9998,99384.9995,48804.99995,52135.00026
oserv,1263567.113,30083.88624,22796.00005,34859.00014,733962.001,277853,157169.0002,138925.9999,173504.9996,473324.0002,563698,549543.0011,64097.99992
pest,148429,3008,1659,3311,265823,143441,14811,46906,0,0,0,0,0
seed,6224055.178,166042.9198,3859,32356,178768.0002,3468,88162,187354.9998,0,0,0,0,0
smach,1005.844214,250.1557855,364,468,5020.999995,1055,292.0000003,14966,578,2065,1051,359.0000004,2597.000003
Surplus,4046959.446,105023.5527,446272,313425,4423099,1753710,468264,1435675,600811,953973,710669,421078,289768
TW,319201.6872,8893.312932,20089,20257,134381.0001,69937,15026,64822,22188,58781,38263,37967,11686.99999
water,112,0,0,0,188,254,371,1340,5942,6447,9907,6181,1278
