"","Group.1","dairy.x_piece","meat.x_piece","pork.x_piece","poultry.x_piece","misslstock.x_piece"
"1","Air-c",30.0000554645999,126.99992912223,639.000161028,14.99999603355,84.9999731015
"2","Auto-c",1740.999995135,1591.000069859,4474.00001242,86.999988133,16.0000230384001
"3","Barley-c",1996.99979245,9624.99880722101,593.998672542001,281.9998670296,133.000000981
"4","Bean-c",2818.999939405,7925.00072152901,4145.00118603099,850.999645025301,748.000038256
"5","Capital",768486,1403164,1041818,872398,350825
"6","Cement-c",0,37.0000871629999,869.99998651,109.000013181,118.0000135032
"7","Chemistry-c",26974.000049602,63252.999832007,51011.99960519,26996.999981288,6669.0000619881
"8","Coal-c",0,0,0,0,0
"9","CoalPro-c",0,0,13267.999987946,688.99998817,1601.999996048
"10","Commercial-c",167741.999464552,456386.000803691,542020.999484066,516828.00140042,55742.9997947317
"11","Const-c",6382.999997759,6100.00000303,4041.00000219,7860.999998528,1071.999999405
"12","Dairy-c",5463.999993704,34.000011848,0,0,0
"13","Diesel-c",1184.999996319,2043.999987351,4356.000004506,11423.000006266,2199.99999715
"14","ELEC-c",9445.000016074,15456.999964939,14618.9999846265,32186.000050238,430.999997359
"15","Electronics-c",3390.999978209,36161.999843488,5139.999864325,1218.999994726,0
"16","FF-c",5220.00001555,15741.999971458,291.999986105,0,4006.0000333894
"17","FiberLeather-c",438.999975283,1940.999862409,3982.99985165,2663.999936186,1857.0000150093
"18","Flower-c",0,0,0,0,0
"19","Food-c",599961.000131731,2170054.00334457,2776372.99612354,2598866.00183055,135630.000271436
"20","Fruit-c",0,0,0,0,0
"21","Fueloil-c",0,20.999996295,0,183.999977812,17.999999107
"22","GAS-c",21.000004815,55.99999012,61.0000006015,35.999997652,75.000000475
"23","Gasoline-c",12.999996508,22.000011414,91.999998038,13.000011886,232.000000798
"24","HEAT-c",0,0,0,0,0
"25","Housing-c",0,0,0,0,0
"26","IS-c",6014.999968205,28692.999933757,3019.999954315,745.999993049,1435.0000329915
"27","Jetoil-c",0,0,0,0,0
"28","Kerosene-c",992.000004437,5917.999992161,1642.000009879,532.999983064,23.000000817
"29","Labor",16075,21880,102256,95992,76367
"30","LNG-c",0,0,0,0,0
"31","LPG-c",575.000002385,280.000004134,629.999996457,743.999982036,163.999999696
"32","Machine-c",10663.99995679,34402.00002816,18939.999935262,5344.999989594,2941.000000265
"33","Marine-c",6663.99997854748,1507.00019132243,2112.999968778,1132.99994952697,586.0000038362
"34","Meat-c",10683.000006296,24747.999988152,0,0,0
"35","Mineral-c",0,0,0,0,15367.0000738383
"36","Mining-c",129.000008371,38.9999498610001,0,0,0
"37","MissCrop-c",13458.000281765,33291.000813159,6885.99969261799,1548.0005477954,4640.000044046
"38","MissLstock-c",0,0,0,0,16933
"39","MissManu-c",171.999992254,635.000018965,318.000095825,55.000013815,0
"40","MissTrans-c",6753.99979793128,18022.9998253953,28715.999908358,28184.0002921976,5866.9999886389
"41","nonISmetal-c",0,0,0,0,0
"42","Nres",0,0,0,-63.999984758,-16.000005525
"43","Oil-c",0,0,0,0,0
"44","Oilpro-c",126.000004176,2969.000000052,335.999982942,34.000002876,289.99999848
"45","Pork-c",0,0,10558,0,0
"46","Potato-c",0,1542.000253646,28888.998888679,0,88.000030114
"47","Poultry-c",0,0,0,363660,0
"48","Ptaxetc",11718.00000228,30490.000015744,24859.000005944,23821.00000176,3783.999991875
"49","Ptaxin",10469.99999772,28290.999984256,13403.999994056,14209.999982998,7918.999990276
"50","Public-c",7087.99999263642,6755.00001033361,10010.000008328,6576.00002128209,1555.0000023768
"51","Rail-c",137.00006821634,972.000180564281,280.00007056,47.99999829822,133.0000167311
"52","Rice-c",96850.99983377,249989.001026413,114150.000862158,9639.99971198291,12668.000013774
"53","Road-c",4135.99986212852,13836.9999924801,12640.00036679,17158.0002915612,4189.0000498463
"54","Semidis-c",0,132.000098413,284.99990305,123.999985891,0
"55","Ship-c",1080.999999618,2411.999998384,8719.000003308,1547.000001195,47.000001396
"56","Vegi-c",0,0,685.998574666,203.9999649169,0
"57","Waste-c",0,3368.99953603081,2380.000036062,1622.00034778198,631.0000046777
"58","WoodPaper-c",1417.999969778,1292.999912702,4211.999984725,15278.000006807,16323.0001523743
