t,p_total_co2,p_min_CO2,p_che_CO2,p_met_CO2,p_halo_co2,w_total_co2,w_inc_co2,p_total_ch4,p_che_ch4,p_halo_ch4,a_total_ch4,a_ferm_ch4,a_man_ch4,a_farm_ch4,a_res_ch4,w_total_ch4,w_land_ch4,w_wat_ch4,w_mis_ch4,p_total_n2o,p_che_n2o,p_halo_n2o,a_total_n2o,a_ferm_n2o,a_farm_n2o,a_res_n2o,w_total_n2o,w_wat_n2o,w_inc_n2o,w_mis_n2o,p_total_hfc,p_haloP_hfc,p_halo_hfc,p_total_pfc,p_halo_pfc,p_total_sf6,p_halo_sf6
1990,18937254.28,18088927.13,752895,95432.1552,0,1393374.332,1393374.332,111581.169,111581.169,0,14129868.6,3021978.687,824179.0727,10234831.05,48879.7884,7465738.081,6894341.198,571396.8835,0,162466.815,162466.815,0,9355106.529,2415045.826,6923252.472,16808.2306,998378.6085,962253.5948,36125.0137,0,982800,982800,0,0,0,0,0
1991,22461494.31,21638007.52,745590,77896.782,0,1872137.458,1872137.458,155429.2404,155429.2404,0,14029722.8,3102291.25,839874.2842,10040556.83,47000.4357,8114201.843,7537773.477,576428.366,0,200667.588,200667.588,0,8816234.228,2518065.752,6282026.862,16141.6138,946717.2047,898584.3846,48132.8201,0,798876,798876,0,0,0,0,0
1992,24832579.03,23937803.23,809931,84844.8,0,2322512.767,2322512.767,220773.5712,220773.5712,0,13940793.71,3230415.804,857931.5319,9805332.841,47113.5302,8606292.392,8019355.394,586936.9985,0,2431356.97,2431356.97,0,9014940.154,2642494.137,6356269.175,16176.842,999835.8527,940816.1063,59019.7463,0,1871064,1871064,0,0,0,0,0
1993,28668302.23,27855863.83,704910,107528.4,0,2829598.463,2829598.463,246150.3156,246150.3156,0,13879097.05,3509034.151,903869.6335,9419247.239,46946.0282,8836327.099,8380691.078,455636.0219,0,2494725.124,2494725.124,0,9233436.17,2890487.144,6326877.863,16071.1635,1003077.034,931033.9197,72043.1139,0,2106000,2106000,0,0,0,0,0
1994,31094306.42,29934146.72,1039246.5,120913.2,0,2990922.986,2990922.986,263173.218,263173.218,0,13812623.78,3778726.77,944990.4327,9042768.414,46138.1587,9343871.871,8726422.354,609720.8444,7728.672,2535606.436,2535606.436,0,9891330.292,3117452.281,6758030.068,15847.943,1014109.985,930947.3364,74605.9042,8556.744,3837897.3,2266992,1570905.3,0,0,5090700,5090700
1995,32715564.75,31454510.85,1123249.5,137804.4,0,4078893.001,4078893.001,270367.7844,270367.7844,0,13749714.48,4023117.707,989075.0963,8686270.363,51251.3134,9527450.715,8936548.529,587106.554,3795.6324,3234518.889,3234518.889,0,10333916.95,3337540.761,6978835.322,17540.8697,1064111.697,958870.9641,101038.4258,4202.3073,5177645.527,2609568,2568077.527,2373960.667,2373960.667,7140498.595,7140498.595
1996,32980900.81,31722249.61,1112934,145717.2,0,4614434.401,4614434.401,306416.3928,306416.3928,0,13665166.09,4225063.714,1011897.113,8371291.115,56914.1463,9738050.675,9199049.272,532917.3788,6084.0242,3598829.401,3598829.401,0,10627507.82,3521054.354,7087001.749,19451.7151,1093324.468,972259.8445,114328.7394,6735.884,5845491.089,2859480,2986011.089,1679129.008,1679129.008,16892261.15,16892261.15
1997,34014129.47,32888897.87,958602,166629.6,0,5114169.854,5114169.854,374199.6804,374199.6804,0,13600863.91,4345280.485,1041227.777,8152505.922,61849.7309,9916758.427,9492401.194,407627.5238,16729.7088,4296091.476,4296091.476,0,10806538.18,3652869.897,7132606.824,21061.4596,1117699.115,972373.2364,126803.701,18522.1776,7160072.621,3255408,3904664.621,1682590.41,1682590.41,11221621.69,11221621.69
1998,27494281.42,26452837.72,904312.5,137131.2,0,4782490.866,4782490.866,390697.3098,390697.3098,0,13459270.58,4271834.644,1059222.939,8069132.412,59080.5897,8956337.699,8578740.77,359972.6365,17624.292,4978254.536,4978254.536,0,10709976.63,3630832.221,7058921.003,20223.4051,1122958.064,982386.9675,121058.4878,19512.609,4911099.31,1943136,2967963.31,1649154.204,1649154.204,5564600.672,5564600.672
1999,28519861.53,27444439.98,933862.3542,141559.2,0,5578873.569,5578873.569,415145.262,415145.262,0,13126127.44,3973907.322,1084052.587,8006244.638,61922.8932,8919000.037,8533207.84,344330.164,41462.0338,5921443.424,5921443.424,0,10438362.93,3485934.117,6931286.099,21142.7105,1164721.405,969775.0884,149041.9225,45904.3945,8061491.145,3641508,4419983.145,1878657.507,1878657.507,10357386.22,10357386.22
2000,29490865.04,28594711.89,748452.35,147700.8,0,7445130.015,7445130.015,433819.4532,433819.4532,0,12705609.25,3603960.399,1108394.383,7928811.479,64442.9926,8948792.715,8540750.658,330726.92,77315.1372,6678481.254,6678481.254,0,10043280.07,3289927.607,6731319.23,22033.2297,1245840.244,969076.7604,191164.5817,85598.9019,8443309.943,3236220,5207089.943,2238779.039,2238779.039,11330027.88,11330027.88
2001,30561428.64,29638500.09,779313.75,143614.8,0,7866675.195,7866675.195,415818.3162,415818.3162,0,12352948.5,3300155.121,1139526.15,7842846.864,70420.3651,9382510.527,8964092.905,333801.9015,84615.72,6956838.613,6956838.613,0,9591819.391,3146819.355,6421129.067,23870.9688,1272227.54,974013.977,204531.8734,93681.69,5851635.917,556920,5294715.917,1984302.441,1984302.441,18135807.08,18135807.08
2002,31775237.67,31237059.19,384791,153387.4788,0,6727296.739,6727296.739,452422.3746,452422.3746,0,12084561.31,3140131.117,1166893.496,7709860.715,67675.9849,9386377.316,8941109.909,346662.7719,98604.6348,6695796.175,6695796.175,0,9254557.811,3083728.762,6147863.535,22965.5136,1277704.202,962063.4147,206471.3697,109169.4171,8652614.503,1993680,6658934.503,1967365.779,1967365.779,15246462.67,15246462.67
2003,32335767.88,31893312.55,285292.65,157161.6,1.08,6778704.993,6778704.993,449747.3526,449747.3526,0,11839198.4,3095705.302,1181411.372,7496496.839,65584.8844,9439558.988,9017816.83,306728.3505,115013.808,10118167.41,10117726.31,441.099,9100445.882,3094794.114,5983438.327,22213.4408,1307935.156,959796.4527,220801.9871,127336.716,6442920.77,49.3212,6442871.449,2266903.068,2266903.068,16523424.37,16523424.37
2004,31177348.54,30657078.34,350903.55,169365.6,1.053,6766071.596,6766071.596,461554.3338,461554.3338,0,11623884.29,3144278.235,1177676.675,7237387.533,64541.8469,8373072.71,7955092.413,294841.656,123138.6416,12492427,12491978.36,448.632,9297761.143,3160766.271,6114990.975,22003.8973,1311952.61,954532.5768,221087.9653,136332.0675,6590974.012,24.5588,6590949.453,2774073.514,2774073.514,14853955.97,14853955.97
2005,28513909.25,28021982.28,297701.75,194175.6444,49.5828,5817127.453,5817127.453,470822.571,470815.3758,7.1952,11445891.99,3227589.869,1168681.845,6983753.624,65866.6536,8260804.813,7827127.189,281821.8507,151855.7729,10794494.84,10613299.13,181195.713,9450501.899,3248747.225,6179140.743,22613.9306,1408740.69,1051218.965,189395.6913,168126.0343,6651180.768,63.5609,6651117.208,2796757.693,2796757.693,15309428.93,15309428.93
2006,28198300.04,27902871.11,152287.5,143056.8,84.6288,6454317.243,6454317.243,490240.611,490228.515,12.096,11373498.13,3360570.85,1173100.415,6773179.385,66647.4839,8075942.859,7580945.119,284094.9263,210902.8139,10337801.85,10131174.73,206627.121,9355252.326,3378482.029,5953760.286,23010.0108,1358874.541,947296.273,178078.7237,233499.544,6097955.976,109.4537,6097846.522,2925118.414,2925118.414,16046429.93,16046429.93
2007,30644773.01,30309319.6,155155.5,180180,117.911,5736690.756,5736690.756,514119.5138,514051.8348,67.679,11355224.27,3501664.513,1188459.579,6599007.353,66092.8215,7426437.617,6939065.161,256108.4567,231263.9992,904699.412,676143.449,228555.963,9414017.315,3503069.401,5888173.141,22774.773,1403739.809,939466.8162,208230.7077,256042.2849,7362077.478,117.1761,7361960.302,3132930.5,3132930.5,16905130.64,16905130.64
2008,31469121.47,31091772.22,158119.5,218988,241.7552,5673681.547,5673681.547,498436.9431,498318.8616,118.0815,11358739.65,3667317.71,1193129.76,6433640.006,64652.1719,7323247.183,6823414.037,248026.3987,251806.747,438427.6556,211612.82,226814.8356,9443392.72,3607443.842,5813749.225,22199.6524,1444692.893,956262.389,209644.4623,278786.0413,6898191.198,121.3707,6898069.828,2918361.831,2918361.831,17365347.42,17365347.42
2009,29755644.37,29450877.56,148932,155264.4,570.4079,5533405.38,5533405.38,503071.7019,502912.1538,159.5481,11417387.49,3847781.287,1209178.581,6296467.988,63959.6297,7409418.984,6897602.099,254495.0955,257321.7891,445258.5242,230247.23,215011.2942,9755545.061,3742816.987,5990758.668,21969.4065,1457173.617,973961.9805,198319.6554,284891.9808,5881621.398,122.5952,5881498.803,2274824.947,2274824.947,18585106.38,18585106.38
2010,31167107.85,30843374.01,144906,177771.6,1056.2346,5417255.647,5417255.647,522945.8472,522636.6432,309.204,11452554.3,4063486.452,1232317.986,6098387.163,58362.7009,7175270.45,6705412.512,240383.6418,229474.2962,452448.751,178515.67,273933.081,9805068.242,3930116.035,5854793.864,20158.3433,1590681.526,1087209.461,249411.2371,254060.828,8161933.534,130.3465,8161803.188,2670827.976,2670827.976,19695864.29,19695864.29
