,CoalT,AnthraT,AnthraD,AnthraIm,BituT,BituCoke,BituSteam,PetroT,PetroENG,Gasoline,Kerosene,Diesel,BA,BB,BC,JA1,JP4,AVIG,LPG,Propane,Butane,PetroNENG,Naphta,Solvent,Asphalt,Lubricant,ParaWax,PetroCoke,OtherProd,LNG,TownGas,Hydro,Nuclear,Elect,Heat,Renewable,TotalE
ProdDom,1274,1274,1274,,,,,,,,,,,,,,,,,,,,,,,,,,,518,,1297,36695,,,3961,43745
Import,48498,2740,,2740,45758,11204,34554,150798,95479,9752,6038,34061,612,111,33108,11797,,,8940,4137,4803,46380,38113,556,3156,2117,15,242,2181,29044,,,,,,,228340
PetroPro,,,,,,,,129130,94506,9741,5988,33782,612,111,32475,11797,,,3925,989,2936,30698,22432,556,3156,2117,15,242,2181,,,,,,,,129130
PetroIm,,,,,,,,21669,973,10,50,280,,,633,,,,5015,3147,1868,15681,15681,,,,,,,,,,,,,,21669
Export,,,,,,,,-37886,-31461,-1915,-616,-12563,,,-8824,-7543,,,-74,-29,-45,-6351,-3281,,-1460,-1401,,-49,-161,,,,,,,,-37886
IntBunk,,,,,,,,-8555,-8555,,,-805,-49,,-6707,-995,,,,,,,,,,,,,,,,,,,,,-8555
Stock_d,696,696,622,74,,,,1316,1074,12,224,224,6,1,375,233,,,122,74,48,120,128,-9,-31,34,,-3,1,134,,,,,,,2147
f_Stock,4103,4103,3700,403,,,,7119,4667,427,615,1309,46,4,1802,464,,,637,376,261,1816,1597,27,68,107,2,6,8,1381,,,,,,,12604
e_Stock,-3407,-3407,-3078,-329,,,,-5803,-3593,-415,-391,-1085,-40,-3,-1428,-231,,,-515,-302,-213,-1696,-1469,-36,-99,-73,-2,-9,-7,-1247,,,,,,,-10457
Diff,4320,58,59,-2,4262,2531,1731,-4147,-3121,11,-198,-71,-217,165,-2785,-26,,,496,-329,825,-1523,-207,24,1,-8,,-37,-1296,659,,,,,,,831
P_con,54788,4768,1956,2812,50020,13735,36285,101526,53416,7859,5448,20847,353,277,15166,3466,,,9484,3853,5631,38626,34754,571,1667,742,15,153,724,30355,,1297,36695,,,3961,228622
Transform,-32477,-895,-895,,-31582,,-31582,-4808,-4672,,-111,-20,,,-4541,,,,-136,-132,-4,,,,,,,,,-30355,17811,-1297,-36695,28588,1530,-65,-57768
E_Gene,-32477,-895,-895,,-31582,,-31582,-4290,-4289,,-94,-19,,,-4176,,,,,,,,,,,,,,,-10866,-272,-1297,-36695,31336,841,-65,-53784
Heating,,,,,,,,-382,-382,,-17,,,,-366,,,,,,,,,,,,,,,-890,-77,,,,667,,-682
Gas_Manu,,,,,,,,-136,-1,,,,,,,,,,-135,-131,-4,,,,,,,,,-18300,18532,,,,,,96
OwnUse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-298,-373,,,-2748,22,,-3397
F_con,22311,3874,1062,2812,18438,13735,4703,96718,48744,7859,5338,20827,353,277,10625,3466,,,9348,3721,5627,38626,34754,571,1667,742,15,153,724,,17811,,,28588,1530,3896,170854
Ind,21237,2800,18,2781,18438,13735,4703,50905,10479,272,758,2806,199,184,6259,2,,,2084,1226,858,38342,34754,571,1667,742,15,125,468,,4656,,,14346,,3222,94366
AFF,,,,,,,,2755,2749,196,416,1898,73,70,96,,,,7,6,,,,,,,,,,,27,,,603,,,3385
Min,,,,,,,,68,60,,3,28,13,1,15,,,,8,8,,,,,,,,,,,,,,113,,,181
Manu,21237,2800,18,2782,18438,13735,4703,45767,7062,62,301,496,79,98,6024,2,,,2030,1172,858,36675,34754,571,,742,15,125,468,,4628,,,13630,,3222,88485
Food,33,,,,33,,33,686,625,1,19,19,6,11,570,,,,23,23,,37,,,,,,,37,,262,,,643,,,1624
Textile,104,,,,104,,104,998,992,1,26,17,4,17,928,,,,5,4,1,2,,,,,,,2,,398,,,1120,,,2619
Wood,,,,,,,,50,49,,3,8,1,1,37,,,,,,,,,,,,,,,,9,,,129,,,187
PPP,,,,,,,,975,967,,12,8,17,7,923,,,,8,8,,,,,,,,,,,75,,,833,,,1883
PetChem,119,,,,119,,119,38997,1774,8,36,146,5,13,1566,,,,1495,891,604,35727,34754,571,,1,13,,389,,450,,,2923,,,42490
NonMetal,3176,3,3,,3173,,3173,1017,834,,12,69,6,15,732,,,,67,67,,115,,,,,,115,,,356,,,845,,,5394
IS,14463,728,14,714,13735,13735,,603,539,,4,4,2,1,528,,,,64,42,22,,,,,,,,,,972,,,2419,,,18457
Nonferr,,,,,,,,130,110,,7,5,2,5,92,,,,20,19,,,,,,,,,,,,,,,,,130
FabMetal,,,,,,,,667,596,44,45,107,26,16,356,2,,,70,65,5,2,,,,,,,2,,948,,,4535,,,6150
Other_Manu,3343,2068,,2068,1275,,1275,741,453,6,133,107,11,13,182,,,,277,51,226,11,,,,,,9,2,,1157,,,184,,3222,8646
Other_E,,,,,,,,903,123,1,4,6,1,,111,,,,,,,780,,,,741,2,,37,,,,,,,,903
Const,,,,,,,,2315,608,13,38,386,33,15,123,,,,40,40,,1667,,,1667,,,,,,,,,,,,2315
Transport,,,,,,,,34982,30278,7512,12,16301,130,36,3476,2810,,,4704,2,4703,,,,,,,,,,339,,,224,,13,35559
Rail_t,,,,,,,,281,281,,,280,,,1,,,,,,,,,,,,,,,,,,,224,,,505
Land_t,,,,,,,,27791,23087,7512,10,15537,5,,22,,,,4704,1,4703,,,,,,,,,,339,,,,,13,28144
Water_t,,,,,,,,4092,4091,,1,478,124,36,3453,,,,1,1,,,,,,,,,,,,,,,,,4092
Air_t,,,,,,,,2819,2819,,1,6,,,,2810,,,,,,,,,,,,,,,,,,,,,2819
Residential,1074,1074,1044,31,,,,6124,4929,4,3178,1073,6,12,657,,,,1189,1108,81,7,,,,,,,7,,9524,,,4375,1358,89,22544
Commercial,,,,,,,,3313,1686,6,1299,125,14,38,202,2,,,1350,1364,-14,277,,,,,,28,249,,2979,,,7858,133,34,14317
Public,,,,,,,,1393,1372,66,91,521,4,7,32,651,,,21,21,,,,,,,,,,,313,,,1785,39,538,4068
