sector,1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,384,HE
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485931.17 ,,,,,,,,,,,,,,2319.43 ,,,,,,,,,,,,,,,,,,,,1154369.28 ,,,,,,16892501.07 ,,,,,,,,,,,,9028.54 ,,438929.07 ,,,,,,29213.38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12613.12 ,,1555697.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90783.83 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7357.39 ,,357581.26 ,,,,,,,,,,,,,,72114.57 ,,,,,,,,,,,,,,,,,8653140.59 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177206451.84 ,,9646825.88 ,,,5706852.93 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31497.16 ,,,,,,,,,,,,,,,432454.24 ,,,97602.52 ,,,,,,,,123453.03 ,,,,,,35543.32 ,,,,,,,,,,,,,,,116241.86 ,,368102.22 ,8784.68 ,109759.00 ,,,,152018.96 ,9459.04 ,17362.55 ,55003340.15 ,1109108.10 ,784326.83 ,,,,,,43258.01 ,,,,26668.73 ,,170.84 ,782.26 ,8811.65 ,,,,171539.46 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,971.08 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,474686.36 ,17232.28 ,,,,401379.96 ,,,,,141308.92 ,7338.10 ,17061.87 ,,,,,,41717.44 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17093.82 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115993.03 ,,,,,,,,,,,,147997.34 ,,,,150095.46 ,,628062.13 ,34464.55 ,215691.01 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2779.74 ,,,,,,,,33048.05 ,79707.26 ,190417.71 ,,,,,,,,2726.49 ,,,,,,865267
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18258521.71 ,11106575.12 ,150825.95 ,,182786.84 ,,29818.18 ,,,,,,116536.28 ,,5963.42 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,23286.86 ,638.89 ,1870.64 ,1797.54 ,16367.40 ,4989.27 ,3787.30 ,665.96 ,173.26 ,1264.24 ,86.63 ,8.12 ,35.19 ,59.56 ,249.06 ,35.19 ,628.06 ,1743.40 ,1862.52 ,3519.29 ,384.41 ,8067.29 ,10893.55 ,76836.89 ,238.23 ,29.78 ,165.14 ,43.31 ,21.66 ,2728.80 ,546.84 ,546.84 ,4669.82 ,1505.17 ,1553.90 ,2544.72 ,4799.77 ,2366.04 ,4374.75 ,4058.01 ,904.19 ,2420.19 ,2043.89 ,10717.59 ,1134.29 ,4271.87 ,3302.72 ,3343.32 ,1196.56 ,2856.04 ,8513.97 ,14280.19 ,825.68 ,2571.79 ,4190.66 ,1789.42 ,8606.01 ,2163.01 ,1288.60 ,1185.73 ,2861.45 ,2755.87 ,7087.30 ,1756.94 ,13763.12 ,16150.83 ,3979.50 ,1575.56 ,22252.73 ,57312.96 ,13903.90 ,186.79 ,300.49 ,2192.79 ,657.84 ,48.73 ,3462.44 ,4548.00 ,173.26 ,663.25 ,462.92 ,397.95 ,1169.49 ,1199.27 ,362.76 ,844.63 ,2528.47 ,6578.36 ,11166.97 ,2016.82 ,5308.71 ,3928.07 ,4204.20 ,40615.29 ,1001.64 ,15233.10 ,303.20 ,101017.11 ,93867.54 ,84392.53 ,37512.90 ,245971.17 ,83385.47 ,23982.60 ,29686.55 ,6857.20 ,27025.43 ,23527.79 ,55052.49 ,49927.87 ,362.76 ,8080.83 ,3787.30 ,6310.35 ,4285.41 ,31768.34 ,847.34 ,4756.45 ,41773.95 ,5657.93 ,2915.59 ,11562.22 ,3056.37 ,6656.87 ,11440.39 ,1911.24 ,2477.04 ,10931.45 ,13370.59 ,8473.36 ,13486.99 ,25360.53 ,15446.97 ,9309.87 ,10151.79 ,2612.39 ,2964.32 ,10289.86 ,3849.56 ,1483.52 ,793.19 ,441.26 ,1510.59 ,1694.67 ,3010.34 ,21854.78 ,28560.38 ,2893.94 ,324.86 ,1093.69 ,3264.82 ,265.30 ,2344.39 ,8392.15 ,641.59 ,34334.72 ,10885.43 ,2874.99 ,2417.48 ,13514.07 ,6394.28 ,5584.84 ,3351.45 ,8846.95 ,3170.07 ,506.24 ,1134.29 ,473.75 ,1648.65 ,844.63 ,4542.59 ,3982.21 ,17471.91 ,4193.37 ,13763.12 ,17994.39 ,3546.36 ,4401.82 ,11307.74 ,11979.12 ,27399.01 ,32434.30 ,1830.03 ,5365.56 ,5511.75 ,14439.91 ,3868.51 ,3947.02 ,14843.27 ,11700.28 ,5649.81 ,5078.60 ,21251.09 ,9415.45 ,19201.78 ,2409.36 ,42580.68 ,3091.56 ,18292.18 ,24670.21 ,5842.02 ,6386.15 ,15877.40 ,5273.52 ,1234.46 ,3153.82 ,4066.13 ,866.29 ,4569.66 ,27139.13 ,11104.71 ,5232.91 ,6510.68 ,13706.27 ,7940.06 ,6951.95 ,10427.92 ,1691.97 ,3305.42 ,15260.17 ,3067.19 ,19967.90 ,31289.18 ,2782.94 ,13430.14 ,4093.20 ,3126.75 ,2447.26 ,1599.92 ,3643.82 ,2617.81 ,34648.75 ,6407.81 ,9469.59 ,2915.59 ,3002.22 ,3562.60 ,1919.37 ,8405.68 ,4824.13 ,6432.18 ,3993.04 ,3167.36 ,2674.66 ,135.36 ,151716.51 ,9456.06 ,10132.84 ,2030.36 ,189.50 ,2336.27 ,55093.10 ,49778.98 ,11638.02 ,14041.96 ,2807.31 ,2263.17 ,197.62 ,1107.22 ,4599.44 ,1830.03 ,8830.71 ,703.86 ,1258.82 ,360.05 ,868.99 ,571.21 ,2236.10 ,690.32 ,214752.38 ,1090.98 ,28305.91 ,5944.89 ,2357.92 ,563.09 ,530.60 ,990.81 ,3586.97 ,7222.66 ,11318.57 ,232.81 ,29903.12 ,990.81 ,34624.38 ,75280.28 ,15095.04 ,39903.31 ,12236.29 ,8803.63 ,15284.54 ,8183.70 ,20974.96 ,21462.24 ,1104.52 ,8895.68 ,8267.62 ,286.96 ,19220.73 ,771996.46 ,236458.26 ,1310.26 ,92.04 ,32569.66 ,56056.85 ,29299.43 ,11795.03 ,19621.38 ,39307.74 ,63084.59 ,5660.64 ,6951.95 ,27593.93 ,13348.93 ,37317.99 ,27090.40 ,3906.41 ,11456.64 ,26597.70 ,12377.07 ,15982.98 ,40168.61 ,20874.79 ,7926.52 ,1705.50 ,59259.40 ,80995.06 ,88350.37 ,8278.45 ,17634.34 ,24548.39 ,27233.88 ,89698.53 ,9726.77 ,57329.20 ,17810.31 ,33235.62 ,29342.74 ,,142615.09 ,20476.84 ,96257.94 ,25539.20 ,14645.65 ,3465.15 ,720.10 ,34207.48 ,78028.03 ,123930.38 ,13760.42 ,162685.86 ,93916.26 ,77115.72 ,164212.69 ,49343.13 ,21898.09 ,127539.00 ,34039.64 ,8375.91 ,134187.75 ,25612.30 ,34272.45 ,7314.71 ,67018.07 ,69844.33 ,3297.30 ,1237.17 ,59186.30 ,10165.33 ,26949.63 ,7027.75 ,60055.30 ,45604.56 ,12658.61 ,79405.97 ,39933.09 ,3925.36 ,12404.14 ,32778.11 ,5574.01 ,24645.85 ,15697295
103,,,,,,,,,,,,,,,,,,4777.47 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256799.65 ,,,,,,,,,,,,,683.88 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7517827.87 ,,,115119.03 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253472.20 ,388.71 ,,,,,,,,,,,,,,,,,,,,,,,
104,2055.47 ,51.66 ,154.98 ,157.69 ,427891.30 ,92.44 ,4554.12 ,851.01 ,212.07 ,4692.78 ,116.91 ,8.16 ,2697.13 ,16090.31 ,4464.39 ,1449.16 ,62.53 ,13.59 ,443.18 ,467.65 ,62.53 ,30905.47 ,3610.67 ,13061.48 ,1054.92 ,13.59 ,76.13 ,40.78 ,29.91 ,2890.17 ,897.23 ,375.20 ,2868.41 ,940.73 ,3251.78 ,1992.94 ,3520.94 ,1000.55 ,1778.15 ,2077.22 ,513.87 ,611.75 ,2612.84 ,8056.03 ,1408.38 ,2593.81 ,856.45 ,3344.22 ,785.76 ,1144.65 ,3991.31 ,6731.94 ,43.50 ,301.80 ,293.64 ,231.10 ,2699.84 ,100.60 ,1272.43 ,543.78 ,3599.79 ,2830.35 ,5592.73 ,791.19 ,4344.76 ,543.78 ,3738.45 ,258.29 ,4385.55 ,32539.51 ,3099.52 ,157.69 ,505.71 ,1609.57 ,1125.61 ,81.57 ,1750.96 ,2909.20 ,65.25 ,986.95 ,625.34 ,304.51 ,734.10 ,2520.40 ,342.58 ,4646.56 ,1014.14 ,1900.49 ,2498.65 ,1348.56 ,1775.43 ,1302.34 ,940.73 ,16661.27 ,70.69 ,6905.95 ,29.91 ,71174.74 ,64801.69 ,57637.46 ,26054.99 ,164434.91 ,57827.78 ,17536.75 ,21190.92 ,6876.04 ,15467.69 ,11916.83 ,20628.11 ,24083.81 ,415.99 ,8705.84 ,1000.55 ,15239.30 ,10426.89 ,8520.96 ,475.80 ,3790.11 ,6237.10 ,1685.70 ,696.03 ,11375.78 ,666.12 ,8425.80 ,2759.66 ,758.57 ,516.59 ,13322.49 ,11612.32 ,5255.59 ,8428.52 ,17664.54 ,11324.12 ,2368.14 ,3357.81 ,5122.36 ,12740.65 ,91193.83 ,32438.91 ,11054.95 ,14391.01 ,5103.33 ,1084.83 ,5065.27 ,10821.13 ,7267.56 ,4747.16 ,696.03 ,323.55 ,701.47 ,40163.24 ,445.90 ,5214.80 ,10508.46 ,3254.49 ,85125.29 ,16120.22 ,4032.09 ,4358.36 ,19013.10 ,7196.87 ,15989.71 ,10609.05 ,27512.31 ,6674.84 ,516.59 ,1408.38 ,573.68 ,652.53 ,266.45 ,5010.89 ,8958.70 ,2501.37 ,6212.63 ,8333.36 ,9880.40 ,2941.82 ,5013.61 ,8200.13 ,9399.15 ,29554.18 ,34695.58 ,1503.54 ,3189.24 ,1473.63 ,8972.29 ,5848.30 ,1952.15 ,19535.13 ,3145.74 ,6087.56 ,2384.45 ,5475.82 ,4140.85 ,2281.14 ,1294.19 ,8249.07 ,1044.05 ,6131.07 ,5154.99 ,2694.41 ,8482.89 ,5290.93 ,1740.08 ,391.52 ,1136.49 ,611.75 ,483.96 ,1101.14 ,3583.48 ,5652.54 ,1810.77 ,1375.75 ,7482.35 ,3597.07 ,1971.19 ,2876.57 ,3588.92 ,7531.29 ,6242.54 ,8039.72 ,22637.36 ,22604.74 ,2085.38 ,18444.86 ,2732.47 ,2623.72 ,3243.62 ,1386.63 ,4157.16 ,1971.19 ,39018.59 ,5470.38 ,12713.47 ,2504.08 ,2039.16 ,1818.93 ,948.89 ,3569.88 ,1506.26 ,3412.19 ,1555.20 ,1364.88 ,2365.42 ,160.41 ,15644.41 ,2245.79 ,3317.03 ,1209.90 ,410.55 ,4236.01 ,29081.10 ,11693.89 ,3689.51 ,25706.97 ,1049.49 ,1411.10 ,301.80 ,356.17 ,4622.09 ,734.10 ,3529.10 ,331.70 ,739.53 ,76.13 ,353.45 ,731.38 ,3042.42 ,935.29 ,135658.33 ,5250.15 ,280819.13 ,31025.10 ,3983.15 ,2705.28 ,3406.75 ,3156.62 ,2398.05 ,3042.42 ,4507.90 ,590.00 ,12827.66 ,557.37 ,24834.22 ,30581.92 ,18768.40 ,9948.37 ,10179.47 ,1998.37 ,7727.05 ,6177.29 ,1976.62 ,8189.26 ,380.64 ,1370.31 ,3643.29 ,100.60 ,8779.25 ,667103.46 ,495178.04 ,4706.37 ,312.67 ,89973.05 ,25470.43 ,4197.94 ,68839.23 ,15225.71 ,1794.46 ,28801.06 ,2612.84 ,5655.26 ,3232.74 ,15198.52 ,16476.39 ,828033.74 ,17408.96 ,247904.41 ,136569.15 ,5864.62 ,2854.82 ,5802.08 ,8828.19 ,802.07 ,1141.93 ,14189.81 ,12514.99 ,8341.51 ,1310.50 ,3094.08 ,6008.72 ,5418.72 ,17259.43 ,6226.23 ,11944.02 ,23357.87 ,7297.46 ,4771.63 ,,81150.30 ,14146.31 ,91691.38 ,14377.42 ,31865.23 ,1693.86 ,725.94 ,15630.82 ,29505.24 ,11794.48 ,736.82 ,15554.69 ,6383.92 ,8575.34 ,36147.46 ,18678.68 ,23695.01 ,53216.56 ,70881.10 ,46207.30 ,297276.48 ,129940.53 ,195092.96 ,3096.80 ,17389.93 ,15019.07 ,1449.16 ,1019.58 ,45013.71 ,36457.41 ,16824.41 ,5769.46 ,56185.58 ,21362.21 ,10791.22 ,42074.61 ,9206.11 ,3189.24 ,12982.63 ,88700.62 ,10535.65 ,88238.41 ,3832299
105,220831.48 ,10827.85 ,17422.43 ,16950.75 ,177184.02 ,149213.80 ,27492.65 ,5388.87 ,1320.68 ,668266.53 ,672.13 ,50.12 ,3493.33 ,6025.62 ,12841.30 ,33674.52 ,6485.51 ,11411.54 ,16986.13 ,8755.43 ,748.78 ,1961246.47 ,130553.23 ,50684.23 ,1644.96 ,29.48 ,168.03 ,5954.87 ,2184.44 ,267367.93 ,93090.59 ,32362.67 ,5710.19 ,1721.61 ,17348.73 ,10135.08 ,21263.62 ,13481.01 ,26723.23 ,3982.69 ,3042.29 ,14014.59 ,9094.45 ,71175.48 ,10191.09 ,19966.51 ,20234.78 ,19344.50 ,12882.57 ,6520.88 ,23515.85 ,50348.16 ,2034.09 ,5724.93 ,5854.64 ,8042.03 ,25753.35 ,5536.26 ,3396.05 ,2039.99 ,5011.53 ,1214.56 ,11564.84 ,2591.25 ,10320.80 ,9380.40 ,10076.12 ,4469.10 ,13970.37 ,35711.55 ,8098.04 ,896.18 ,619.07 ,10226.46 ,1986.92 ,103.18 ,10630.33 ,14722.10 ,1647.91 ,3894.25 ,2334.78 ,2090.10 ,3982.69 ,5751.46 ,1261.73 ,5651.23 ,6821.57 ,23421.52 ,24426.77 ,5795.68 ,6349.90 ,10418.08 ,7915.27 ,27416.00 ,934.50 ,2629.58 ,583.70 ,88987.04 ,92763.37 ,80547.04 ,37654.26 ,229589.86 ,81233.91 ,26345.89 ,43405.72 ,30475.98 ,17239.65 ,25426.13 ,60565.78 ,148659.59 ,2264.03 ,31159.91 ,24836.54 ,21938.70 ,32150.42 ,92044.07 ,5497.94 ,16921.27 ,101757.59 ,21148.65 ,9958.20 ,18421.78 ,9206.47 ,16160.70 ,24173.25 ,7334.52 ,6647.64 ,56011.19 ,63171.78 ,19533.16 ,37922.52 ,72796.86 ,47892.51 ,29364.60 ,14049.96 ,11190.45 ,8124.57 ,91539.97 ,33205.79 ,13578.29 ,32156.32 ,9174.04 ,36183.23 ,45257.04 ,92574.70 ,431073.89 ,100436.90 ,5539.21 ,7160.59 ,5250.31 ,62499.64 ,23607.24 ,28094.03 ,13728.64 ,1618.43 ,100926.26 ,27802.18 ,16446.65 ,19544.96 ,58947.35 ,25835.90 ,10373.86 ,27669.53 ,19267.85 ,17310.40 ,3950.26 ,4814.01 ,6411.81 ,14713.25 ,11081.37 ,25045.84 ,32689.90 ,95221.97 ,22489.97 ,26345.89 ,37229.75 ,12054.20 ,18636.99 ,38644.77 ,31755.40 ,102167.35 ,121856.76 ,6774.41 ,8596.24 ,14153.14 ,4840.55 ,10506.52 ,12997.54 ,61361.73 ,14545.22 ,14952.04 ,8870.40 ,50383.54 ,22292.45 ,12039.46 ,5297.48 ,26145.43 ,7269.66 ,10730.56 ,20420.50 ,4707.89 ,12239.92 ,27545.71 ,9176.99 ,4625.34 ,2511.66 ,4309.91 ,4572.28 ,3891.30 ,11031.26 ,30844.48 ,11308.36 ,8829.13 ,16723.76 ,9044.33 ,16638.27 ,38780.38 ,580.75 ,9645.72 ,26440.23 ,10995.88 ,38756.79 ,43741.79 ,6476.66 ,50557.47 ,13000.49 ,7467.18 ,3230.96 ,2001.66 ,7564.46 ,7148.80 ,24509.32 ,18607.51 ,11638.54 ,8401.68 ,6818.63 ,11340.79 ,6084.58 ,27722.59 ,15240.94 ,13351.30 ,5586.38 ,10143.92 ,7623.42 ,483.46 ,194609.40 ,27239.12 ,45454.55 ,16204.92 ,1167.39 ,39193.09 ,102541.74 ,95213.12 ,41949.43 ,24653.77 ,4672.51 ,3903.10 ,2824.14 ,1609.58 ,27301.03 ,6010.88 ,36416.12 ,2393.74 ,6641.75 ,1930.91 ,2264.03 ,1615.48 ,11694.55 ,4864.13 ,406829.89 ,6612.27 ,277234.74 ,36074.15 ,9719.41 ,3443.21 ,3410.79 ,238380.67 ,41746.02 ,95289.77 ,185927.66 ,3735.06 ,466611.51 ,35410.86 ,634960.51 ,988951.21 ,72109.98 ,1221450.70 ,222358.52 ,257952.15 ,577664.01 ,293763.94 ,222897.99 ,1061167.32 ,13976.27 ,119480.71 ,86071.51 ,39160.66 ,257055.97 ,2468604.64 ,1431716.70 ,391161.50 ,33020.07 ,3468572.37 ,11410386.84 ,1491887.46 ,615179.71 ,1290034.93 ,6739.03 ,99797.20 ,130181.79 ,28294.49 ,379561.29 ,261389.47 ,172638.27 ,200502.36 ,17177.75 ,36654.90 ,22295.40 ,64651.65 ,45224.61 ,117201.94 ,47294.08 ,10017.16 ,5380.02 ,36274.61 ,30361.01 ,72033.33 ,30505.46 ,15933.71 ,49849.96 ,78996.41 ,110678.11 ,8165.84 ,57476.32 ,101725.16 ,19312.07 ,17593.41 ,,456461.70 ,12130.84 ,188359.73 ,127879.44 ,91637.25 ,6461.92 ,3278.13 ,77752.37 ,40015.57 ,130957.10 ,15742.09 ,179515.86 ,26095.32 ,33754.11 ,179191.58 ,88577.27 ,67469.90 ,270849.47 ,682098.34 ,102895.50 ,784053.44 ,179179.79 ,323853.74 ,47833.55 ,196431.23 ,428983.79 ,34420.35 ,13310.03 ,472822.86 ,76584.98 ,23415.62 ,17790.92 ,297213.05 ,238704.94 ,10226.46 ,68678.56 ,56892.63 ,14719.15 ,43956.99 ,89461.66 ,18268.49 ,59522.20 ,5295439
