basecode,basename
1,벼
2,맥류 및 잡곡
3,콩류
4,감자류
5,채소
6,과실
7,약용작물
8,기타 식용작물
9,잎담배
10,화훼작물
11,천연고무
12,종자 및 묘목
13,기타 비식용작물
14,낙농
15,육우
16,양돈
17,가금
18,기타 축산
19,영림
20,원목
21,식용 임산물
22,기타 임산물
23,수산어획
24,수산양식
25,농림어업 서비스
26,무연탄
27,유연탄
28,원유
29,천연가스 (LNG)?? 
30,철광석
31,기타 비철금속광석
32,골재 및 석재
33,석회석
34,기타 비금속광물
35,도축육
36,가금육
37,육가공품
38,우유
39,낙농품
40,수산물 가공품
41,수산동물 저장품
42,정곡
43,제분
44,원당
45,정제당
46,전분 및 당류
47,"떡, 빵 및 과자류"
48,면류
49,조미료 및 첨가용식품
50,유지
51,과실 및 채소 가공품
52,커피 및 차류
53,인삼 및 건강보조식품
54,기타 식료품
55,사료
56,주정
57,소주
58,맥주
59,기타 주류
60,비알콜음료 및 얼음
61,담배
62,천연 섬유사
63,화학 섬유사
64,기타 섬유사
65,천연섬유직물
66,화학섬유직물
67,기타 섬유직물
68,편조원단
69,섬유표백 및 염색
70,직물제품
71,"끈, 로프 및 어망"
72,기타 섬유제품
73,봉제의류
74,편조의류
75,가죽의류
76,모피의류 및 모피제품
77,의복관련 장신품
78,가죽
79,모피
80,가방 및 핸드백
81,신발
82,기타 가죽제품
83,제재목
84,합판
85,강화 및 재생목재
86,건축용 목제품
87,목재 용기 및 적재판
88,기타 목제품
89,펄프
90,인쇄용지
91,기타 원지 및 판지
92,골판지 및 골판지상자
93,종이용기
94,종이문구 및 사무용지
95,위생용 종이제품
96,기타 종이제품
97,인쇄
98,기록매체 복제
99,석탄 코크스 및 관련제품
100,연탄
101,나프타
102,휘발유
103,제트유
104,등유
105,경유
106,중유
107,액화석유가스
108,정제혼합용 원료유
109,윤활유 및 그리스
110,기타 석유정제제품
111,지방족 기초유분
112,방향족 기초유분
113,석유화학중간제품
114,석탄화합물
115,기타 기초유기화합물
116,산업용 가스
117,기초무기화합물
118,"염료, 안료 및 유연제"
119,합성수지
120,합성고무
121,화학섬유
122,의약품
123,비료 및 질소화합물
124,살충제 및 농약
125,도료
126,잉크
127,"비누, 세제 및 치약"
128,화장품
129,접착제 및 젤라틴
130,사진용 화학제품 및 감광재료
131,기타 화학제품
132,플라스틱 1차제품
133,건축용 플라스틱제품
134,포장용 플라스틱제품
135,조립용 플라스틱제품
136,기타 플라스틱제품
137,타이어 및 튜브
138,산업용 고무제품
139,기타 고무제품
140,판유리 및 1차유리
141,전자기기용 유리제품
142,산업용(전자기기 제외) 유리제품
143,기타 유리제품
144,가정용 도자기
145,산업용 도자기
146,내화 요업제품
147,건설용 비내화 요업제품
148,시멘트
149,레미콘
150,콘크리트제품
151,석회 및 석고제품
152,석제품
153,연마재
154,아스콘 및 아스팔트 제품
155,석면 및 암면
156,기타 비금속광물제품
157,선철
158,합금철
159,조강
160,철근 및 봉강
161,형강
162,선재 및 궤조
163,열연 후판 및 강판
164,강선
165,철강관
166,냉간압연강재
167,표면처리강재
168,기타 철강1차제품
169,"동 제련, 정련 및 합금제품"
170,"알루미늄 제련, 정련 및 합금제품"
171,"연 및 아연 제련, 정련 및 합금제품"
172,금은괴
173,"기타 비철금속 제련, 정련 및 합금제품"
174,동 1차제품
175,알루미늄 1차제품
176,기타 비철금속 1차제품
177,금속 주물
178,건축용 금속제품
179,구조물용 금속제품
180,금속제 탱크 및 압력용기
181,산업용 보일러 및 증기발생기
182,금속 단조 및 야금제품
183,금속압형제품
184,금속처리
185,금속처리 가공품
186,가정용 금속제품
187,부착용 금속제품
188,공구류
189,나사 및 철선 제품
190,금속포장용기
191,기타 금속제품
192,내연기관 및 터빈
193,펌프 및 압축기
194,밸브
195,"베어링, 기어 및 동력전달장치"
196,산업용 운반기계
197,공기조절 장치 및 냉장 냉동 장비
198,공기 및 액체 여과기
199,사무용 기기
200,기타 일반목적용기계
201,농업용 기계
202,건설 및 광산용 기계
203,금속 절삭기계
204,금속 성형기계
205,금형 및 주형
206,반도체 제조용 기계
207,디스플레이 제조용 기계
208,음식료품 가공기계
209,섬유 및 의복 가공기계
210,산업용 로봇
211,제지 및 인쇄기계
212,고무 및 플라스틱 성형기계
213,기타 특수목적용기계
214,발전기 및 전동기
215,변압기
216,전기변환장치
217,전기회로 개폐 및 접속장치
218,배전반 및 전기자동제어반
219,전지
220,전선 및 케이블
221,전구 및 램프
222,조명장치
223,기타 전기장비
224,개별소자
225,집적회로
226,LCD 평판 디스플레이
227,기타 전자표시장치
228,인쇄회로기판 및 실장기판
229,"축전기, 저항기, 전자코일 및 변성기"
230,기타 전자부품
231,컴퓨터
232,컴퓨터 기억장치
233,컴퓨터 주변기기
234,유선통신기기
235,이동전화기
236,기타 무선통신장비 및 방송장비
237,TV
238,영상기기
239,오디오 및 음향기기
240,가정용 냉장고 및 냉동고
241,주방용 및 난방용 전기기기
242,기타 가정용 전기기기
243,의료용 기기
244,측정 및 분석기
245,자동조정 및 제어기기
246,사진기 및 영사기
247,안경 및 기타광학기기
248,시계
249,승용차
250,버스
251,트럭
252,특장차
253,트레일러 및 컨테이너
254,자동차용 엔진
255,자동차 부분품
256,강철제 선박
257,기타 선박
258,선박 수리 및 부분품
259,철도차량
260,항공기
261,모터사이클
262,기타 운수장비
263,목재 가구
264,금속 가구
265,기타 가구
266,장난감 및 오락용품
267,운동 및 경기용품
268,악기
269,문방구
270,귀금속 및 보석
271,모형 및 장식용품
272,기타 제조업제품
273,제조임가공서비스
274,수력
275,화력
276,원자력
277,자가발전
278,신재생에너지
279,도시가스
280,증기 및 온수
281,수도
282,하수 폐수 및 분뇨처리(국공립)
283,하수 폐수 및 분뇨처리(산업)
284,폐기물 수집 운반 및 처리(국공립)
285,폐기물 수집 운반 및 처리(산업)
286,자원재활용서비스
287,주거용 건물
288,비주거용 건물
289,건축보수
290,도로시설
291,철도시설
292,항만시설
293,하천사방
294,상하수도시설
295,농림수산토목
296,도시토목
297,환경정화시설
298,통신시설
299,전력시설
300,산업플랜트
301,기타 건설
302,도매서비스
303,소매서비스
304,철도여객 운송서비스
305,철도화물 운송서비스
306,도로여객 운송서비스
307,도로화물 운송서비스
308,소화물 전문 운송서비스
309,연안 및 내륙수상 운송서비스
310,외항운송서비스
311,항공운송서비스
312,육상운송보조서비스
313,수상운송보조서비스
314,항공운송보조서비스
315,하역서비스
316,보관 및 창고서비스
317,기타 운송관련서비스
318,일반음식점
319,주점
320,기타음식점
321,숙박
322,우편서비스
323,유선통신서비스
324,무선통신서비스
325,기타 전기통신서비스
326,지상파 방송서비스
327,"유선, 위성 및 기타방송"
328,정보서비스
329,소프트웨어 개발 공급
330,컴퓨터관리서비스
331,신문
332,출판
333,영상 · 오디오물 제작 및 배급
334,영화상영
335,중앙은행 및 예금취급기관
336,금융투자기관
337,기타 금융중개기관
338,생명보험
339,비생명보험
340,금융 및 보험 보조서비스
341,주거서비스
342,비주거용 건물 임대
343,부동산 개발 및 공급
344,부동산관련서비스
345,기계장비 및 용품 임대
346,연구개발(국공립)
347,연구개발(비영리)? 
348,연구개발(산업)
349,기업내연구개발
350,법무 및 회계 서비스
351,시장조사 및 경영컨설팅
352,광고
353,건축 · 토목관련서비스
354,공학관련서비스
355,과학기술서비스
356,기타 전문서비스
357,청소소독 및 시설유지
358,인력공급 및 알선
359,기타 사업지원서비스
360,중앙정부
361,지방정부
362,교육서비스(국공립)
363,교육서비스(비영리)
364,교육서비스(산업)
365,의료 및 보건(국공립)
366,의료 및 보건(비영리)
367,의료 및 보건(산업)
368,사회보험(국공립)
369,사회복지서비스(국공립)
370,사회복지서비스(비영리)
371,문화서비스(국공립)
372,"연극, 음악 및 기타예술"
373,기타 문화서비스
374,스포츠서비스
375,오락서비스
376,산업 및 전문가 단체
377,기타 사회단체
378,자동차 수리서비스
379,기계장비 수리
380,개인 및 가정용품 수리서비스
381,미용관련서비스
382,세탁
383,가사서비스
384,기타 개인서비스
