"","sector_ind","sector_name","BR_ind","BR_name"
"1",1,"ELEC",1,"ELEC"
"2",2,"GAS",2,"GASHeat"
"3",3,"HEAT",2,"GASHeat"
"4",4,"Gasoline",3,"Oil"
"5",5,"Jetoil",3,"Oil"
"6",6,"Diesel",3,"Oil"
"7",7,"Kerosene",3,"Oil"
"8",8,"Fueloil",3,"Oil"
"9",9,"LPG",3,"Oil"
"10",10,"Oilpro",3,"Oil"
"11",11,"CoalPro",4,"Coal"
"12",12,"Coal",4,"Coal"
"13",13,"Oil",3,"Oil"
"14",14,"LNG",2,"GASHeat"
"15",15,"Mining",5,"EINT"
"16",16,"IS",5,"EINT"
"17",17,"Cement",5,"EINT"
"18",18,"Chemistry",5,"EINT"
"19",19,"WoodPaper",6,"NEINT"
"20",20,"FiberLeather",6,"NEINT"
"21",21,"Mineral",5,"EINT"
"22",22,"nonISmetal",6,"NEINT"
"23",23,"Machine",6,"NEINT"
"24",24,"Electronics",6,"NEINT"
"25",25,"Semidis",6,"NEINT"
"26",26,"Auto",6,"NEINT"
"27",27,"Ship",6,"NEINT"
"28",28,"Food",6,"NEINT"
"29",29,"MissManu",6,"NEINT"
"30",30,"Const",6,"NEINT"
"31",31,"Rail",5,"EINT"
"32",32,"Road",5,"EINT"
"33",33,"Air",5,"EINT"
"34",34,"Marine",5,"EINT"
"35",35,"MissTrans",6,"NEINT"
"36",36,"Housing",6,"NEINT"
"37",37,"Commercial",6,"NEINT"
"38",38,"Public",6,"NEINT"
"39",39,"Rice",7,"AGRI"
"40",40,"Barley",7,"AGRI"
"41",41,"Bean",7,"AGRI"
"42",42,"Potato",7,"AGRI"
"43",43,"Vegi",7,"AGRI"
"44",44,"Fruit",7,"AGRI"
"45",45,"Flower",7,"AGRI"
"46",46,"MissCrop",7,"AGRI"
"47",47,"Dairy",7,"AGRI"
"48",48,"Meat",7,"AGRI"
"49",49,"Pork",7,"AGRI"
"50",50,"Poultry",7,"AGRI"
"51",51,"MissLstock",7,"AGRI"
"52",52,"FF",7,"AGRI"
"53",53,"Waste",6,"NEINT"
