,sigmaq
ELEC-c,0.3
GAS-c,0.3
HEAT-c,0.3
Gasoline-c,2.1
Jetoil-c,2.1
Diesel-c,2.1
Kerosene-c,2.1
Fueloil-c,2.1
LPG-c,2.1
Oilpro-c,2.1
CoalPro-c,3.05
Coal-c,3.05
Oil-c,2.1
LNG-c,2.1
Mining-c,1.9
IS-c,3
Cement-c,3
Chemistry-c,3
WoodPaper-c,1.9
FiberLeather-c,1.9
Mineral-c,1.9
nonISmetal-c,3
Machine-c,3
Electronics-c,3
Semidis-c,3
Auto-c,3
Ship-c,3
Food-c,1.9
MissManu-c,1.9
Const-c,1.9
Rail-c,1.9
Road-c,1.9
Air-c,1.9
Marine-c,1.9
MissTrans-c,1.9
Housing-c,1.9
Commercial-c,1.9
Public-c,1.9
Rice-c,3.29
Barley-c,3.29
Bean-c,3.29
Potato-c,3.29
Vegi-c,3.29
Fruit-c,3.29
Flower-c,3.29
MissCrop-c,3.29
Dairy-c,3.29
Meat-c,3.29
Pork-c,3.29
Poultry-c,3.29
MissLstock-c,3.29
FF-c,3.29
Waste-c,1.9
